po_id,po_number,supplier_id,item_id,order_quantity,unit_price,total_amount,status,order_date,expected_delivery,actual_delivery,warehouse_id,pr_number
PO-2026-001,PO/BLT/2026/09/031,SUP-001,BLT-INV-002,2550,10000,25500000,ORDERED,2026-09-22,2026-10-02,,WH-BDG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-001,BLT-INV-003,42,10000,420000,ORDERED,2026-09-22,2026-10-02,,WH-BDG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-002,BLT-INV-005,27,10000,270000,ORDERED,2026-09-22,2026-10-02,,WH-DPS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-002,BLT-INV-006,22,10000,220000,ORDERED,2026-09-22,2026-10-02,,WH-BDG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-002,BLT-INV-006,18,10000,180000,ORDERED,2026-09-22,2026-10-02,,WH-MKS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-010,BLT-INV-023,11,10000,110000,ORDERED,2026-09-22,2026-10-02,,WH-MDN-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-006,BLT-INV-016,4000,10000,40000000,ORDERED,2026-09-22,2026-10-02,,WH-SMG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-008,BLT-INV-015,1450,10000,14500000,ORDERED,2026-09-22,2026-10-02,,WH-SBY-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-005,BLT-INV-014,650,10000,6500000,ORDERED,2026-09-22,2026-10-02,,WH-MDN-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-003,BLT-INV-025,580,10000,5800000,ORDERED,2026-09-22,2026-10-02,,WH-BDG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-003,BLT-INV-008,270,10000,2700000,ORDERED,2026-09-22,2026-10-02,,WH-SBY-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-003,BLT-INV-010,320,10000,3200000,ORDERED,2026-09-22,2026-10-02,,WH-DPS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-003,BLT-INV-008,220,10000,2200000,ORDERED,2026-09-22,2026-10-02,,WH-MDN-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-007,BLT-INV-033,80,10000,800000,ORDERED,2026-09-22,2026-10-02,,WH-SMG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-005,BLT-INV-013,68,10000,680000,ORDERED,2026-09-22,2026-10-02,,WH-MKS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-006,BLT-INV-018,95,10000,950000,ORDERED,2026-09-22,2026-10-02,,WH-BDG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-004,BLT-INV-012,48,10000,480000,ORDERED,2026-09-22,2026-10-02,,WH-MDN-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-003,BLT-INV-026,48,10000,480000,ORDERED,2026-09-22,2026-10-02,,WH-DPS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-002,BLT-INV-007,38,10000,380000,ORDERED,2026-09-22,2026-10-02,,WH-MKS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-001,BLT-INV-003,32,10000,320000,ORDERED,2026-09-22,2026-10-02,,WH-SMG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-002,BLT-INV-021,26,10000,260000,ORDERED,2026-09-22,2026-10-02,,WH-DPS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-005,BLT-INV-013,55,10000,550000,ORDERED,2026-09-22,2026-10-02,,WH-DPS-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-003,BLT-INV-009,45,10000,450000,ORDERED,2026-09-22,2026-10-02,,WH-SBY-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-001,BLT-INV-004,14,10000,140000,ORDERED,2026-09-22,2026-10-02,,WH-BDG-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-001,BLT-INV-003,28,10000,280000,ORDERED,2026-09-22,2026-10-02,,WH-JKT-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-002,BLT-INV-005,17,10000,170000,ORDERED,2026-09-22,2026-10-02,,WH-JKT-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-001,BLT-INV-004,12,10000,120000,ORDERED,2026-09-22,2026-10-02,,WH-SBY-01,PR-20260922-170639
PO-2026-001,PO/BLT/2026/09/031,SUP-006,BLT-INV-017,15,10000,150000,ORDERED,2026-09-22,2026-10-02,,WH-JKB-01,PR-20260922-170639
